02000C34  [SDK+Abiosso:libVCT 1.3.1]
023CA873  Marth vowed to free Altea from its torment
023CA89E  without any further delay.
023CA8BA  The League had routed Hollstadt's knights
023CA8E4  and recaptured most of the kingdom,
023CA909  but there was still the castle to deal with
023CA935  before Altea would be free;
023CA952  the mage-dragon Morzas remained
023CA972  entrenched within its walls.
023CA990  Unlike General Camus who preceded him,
023CA9B7  Morzas had been a cruel warden,
023CA9D8  slaughtering many innocent Alteans at the
023CAA02  slightest provocation.
023CAA1A  Marth roiled to think such a monster still
023CAA45  sat upon his noble father's throne.
023CAA6A  For Gotoh to create the magic that could
023CAA93  defeat Gharnef,
023CAAA4  he needed two orbs: the Lightsphere and
023CAACC  the Starsphere.
023CAADD  Marth and company set off to Chiasmir and
023CAB07  the Fane of Raman to find them,
023CAB28  but in their path stood a cohort of Grustian
023CAB55  knights known as the Sable Order.
023CAB78  The bridges across the strait would soon be
023CABA4  choked with the brave and the dead...
023CABCB  The Sable Order fought valiantly to keep
023CABF4  Marth's army from reaching Chiasmir,
023CAC1A  but in the end Grust's knights buckled:
023CAC42  the world's mightiest only in song.
023CAC67  The League marched on to the Fane
023CAC89  of Raman,
023CAC94  a holy sanctuary built by the divine dragons
023CACC1  to house their most priceless treasures.
023CACEB  There, another story was set to
023CAD15  It was General Ordwin, one of the
023CAD37  Three Heroes of the War of Liberation,
023CAD50  Start a new game.
023CAD5F  who put Grust on the map.
023CAD62  Continue from save data.
023CAD7A  His peerless knights tamed their neighbors
023CAD7B  Resume from a suspend point.
023CAD98  Copy save data.
023CADA5  the barbarians in the kingdom's infancy,
023CADA8  Delete save data.
023CADBA  See more choices.
023CADCC  Open the wireless-play menu.
023CADCF  securing its place as one of the greatest
023CADE9  Open Nintendo Wi-Fi Connection menu.
023CADF9  of the Seven Kingdoms.
023CAE0E  Delete all of your data.
023CAE11  However, the current king, Ludwik, was
023CAE27  Rewatch scenes from the game.
023CAE38  weak willed and easily cowed;
023CAE45  Listen to music from the game.
023CAE57  Dolhr had little trouble forcing him into
023CAE64  Play against friends and other opponents.
023CAE81  an alliance. Now he had taken ill,
023CAE8E  Register friends so you can play wirelessly.
023CAEA5  even as Grust suffered its string of
023CAEBB  Borrow units from friends, or loan them out.
023CAECA  defeats at the hands of the League.
023CAEE8  Connect to a shop to buy and sell items.
023CAEEF  The once mighty kingdom was poised
023CAF11  Test the microphone for voice chat.
023CAF12  to fall...
023CAF1E  Grust would harry the League no more.
023CAF35  Set up Nintendo WFC.
023CAF45  Marth led his forces on to Macedon.
023CAF4A  Recommended for beginners and those playing
023CAF6A  However, Macedon's Dragoons were ready
023CAF76  this game for the first time. A special prologue
023CAF91  to waylay them at the border;
023CAFA7  introduces the story and game play.
023CAFB0  countless reinforcements hovered within the
023CAFCB  Recommended for those seeking a challenge.
023CAFDC  fortresses, waiting to strike...
023CAFF6  Enemies are up to five degrees tougher than
023CAFFE  Would Marth be able to lead the League
023CB022  those in Normal mode. No prologue is included.
023CB025  safely through the gauntlet?
023CB043  The Macedon Minerva and Maria
023CB058  Play Wirelessly
023CB061  remembered best was one of peace:
023CB068  Play Anyone
023CB074  Play a Friend
023CB084  a quiet, prosperous kingdom famed for the
023CB08B  Battle Data
023CB097  Create and view squads.
023CB0AE  flying beasts favored by dracoknights.
023CB0AF  Play friends over DS Wireless Communications.
023CB0D6  But then their brother, Prince Michalis,
023CB0DD  Play other people connected to Nintendo WFC.
023CB0FF  succumbed to his lust for power.
023CB10A  Play friends over Nintendo WFC.
023CB121  Despite his sisters' adamant opposition,
023CB12A  Practice using versus-battle rules.
023CB14A  he swore allegiance to Dolhr;
023CB14E  View stats for your last 20 battles.
023CB169  and when Macedon's Dragoons took flight,
023CB173  Use Loans
023CB192  the world suffered.
023CB19D  Select loan units you have downloaded from
023CB1A7  Even now that the tides had turned,
023CB1C8  friends to use in your own save data.
023CB1CB  Michalis took position for one last stand.
023CB1EE  Connect two DS systems wirelessly to borrow
023CB1F7  Dracoknights filled the sky end to end,
023CB21A  and loan units directly.
023CB21F  eager to pluck Marth from the earth.
023CB233  Connect to a friend over Nintendo WFC
023CB245  With the aid of the White Sage Gotoh's
023CB259  to borrow and loan units directly.
023CB26C  powerful Warp magic,
023CB27C  Store units you want to loan to friends on
023CB282  Marth and company were transported to
023CB2A7  the game server.
023CB2A8  the faraway city of Thabes.
023CB2B8  Retrieve units your friends have loaned you
023CB2C5  Thabes was once an advanced civilization,
023CB2E4  from the game server.
023CB2EF  but only its decay advanced now.
023CB2FA  Placing a unit on the castle will change the
023CB311  The League traced the lifeless streets to
023CB327  castle's flag to that army's color.
023CB33B  the temple at the city's heart;
023CB34B  To win, make sure the flag is your color
023CB35C  somewhere within its walls, Gharnef
023CB374  when the battle ends
023CB380  was waiting, and now,
023CB38A  or just annihilate
023CB397  it was up to Marth to wrest Falchion and
023CB39D  your opponent first.
023CB3C0  his sister, Elice, from the fiend's grip.
023CB3C7  What would you like to do?
023CB3E2  Choose a location to create your squad.
023CB3F4  Land of the Manaketes.
023CB40A  Select the squad you want to view.
023CB40C  Before Medeus, the dragonkin had few
023CB42D  Select the squad you want to delete.
023CB431  dealings with the human realm,
023CB451  but when the Shadow Dragon came,
023CB452  Select a squad to change its card.
023CB472  everything changed.
023CB475  Make your preparations.
023CB487  He sunk all Archanea into a cycle of war,
023CB48D  Enter a name for this squad.
023CB4AA  Choose a card for this squad.
023CB4B1  in which heroes rose and heroes fell
023CB4C8  Select a squad to deploy.
023CB4D9  always claiming his cause was just and the
023CB504  human deaths deserved.
023CB516  Fleet Feet
023CB51C  But now Medeus's empire was crumbling...
023CB545  He was nearing the end of his reign...
023CB56D  even as Marth was nearing the end of his
023CB596  long quest.
023CB598  Raises strength
023CB5A3  The long war had been fought, Archanea's
023CB5A8  of all friendly
023CB5B8  units by 1.
023CB5C4  Raises skill
023CB5CC  many lands freed,
023CB5DF  and now the League had cornered their
023CB5ED  Raises speed
023CB605  archenemy within his castle.
023CB616  Raises magic
023CB623  They broke into four groups and stormed
023CB63F  Raises defense
023CB64B  the four gates of Dolhr Keep
023CB66A  Raises resistance
023CB66B  unaware that this was exactly what
023CB68E  Medeus was expecting.
023CB698  Raises movement
023CB6A5  Bravely, these warriors fate had chosen
023CB6A8  of armored units
023CB6BF  Lowers HP of
023CB6CC  all enemy units
023CB6CD  steeled themselves for one last struggle.
023CB6DC  by 20% in the
023CB6EA  opening turn.
023CB6F8  Nullifies critical
023CB6F8  Not long after Marth's army freed the
023CB70B  hits from both
023CB71A  friendly and
023CB71E  kingdom of Aurelis,
023CB727  enemy units.
023CB733  messengers arrived from a western village
023CB734  Lowers movement
023CB744  of enemy fliers
023CB75A  Raises friendly
023CB75D  to plea for the prince's help.
023CB76A  units' hit rate
023CB77A  when using
023CB77D  Pirates had struck the war-torn village at
023CB785  swords by 10%.
023CB7A8  its weakest and abducted its children.
023CB7BF  lances by 10%.
023CB7D0  Marth could not ignore such an injustice
023CB7F9  axes by 10%.
023CB7F9  and rode with his army to the rescue...
023CB822  After taking back the palace, the League
023CB831  bows by 10%.
023CB84B  rode across Archanea,
023CB862  freeing the greater part of the kingdom as
023CB869  magic by 10%.
023CB877  Nullifies bonus
023CB887  damage from
023CB88D  they went
023CB893  both friendly and
023CB898  all except the west.
023CB8AE  A landed knight there named Horace, who
023CB8B2  Restores 2 HP
023CB8C0  to all friendly
023CB8D0  units each turn.
023CB8D6  had betrayed Archanea to join Dolhr,
023CB8F1  cost for all
023CB8FC  continued to stubbornly hold out against
023CB8FE  terrain by 1.
023CB90C  Lowers visibility
023CB91E  for both friendly
023CB925  Marth's forces.
023CB930  and enemy units
023CB936  Nyna could not fathom why such a fiercely
023CB946  Awards two
023CB951  cards if you win
023CB960  loyal knight would turn to treachery,
023CB962  the wireless
023CB987  but with her other knights calling for
023CB98C  Remove this friend code?
023CB9A5  Save your changes?
023CB9AE  Horace's blood,
023CB9B8  Select friend code.
023CB9BF  she had no choice but to give in and ask
023CB9CC  Register a friend code.
023CB9E4  Edit friend data.
023CB9E8  Marth to bring the traitor to justice.
023CB9F6  Remove friend code.
023CBA0A  Enter a friend code.
023CBA10  At long last, Altea was free again.
023CBA27  Store this unit on the game server?
023CBA35  Marth took the League to Helena Castle in
023CBA4B  Add this loan unit to your list?
023CBA5F  the north,
023CBA6B  an old fortress and key supply point during
023CBA6C  Use this loan unit?
023CBA94  Your current loan unit will be replaced.
023CBA97  Dolhr and Grust's occupation.
023CBAB6  There he meant to seize the last of the
023CBABD  Dismiss the unit you have on loan?
023CBADE  enemy's gold and provisions
023CBAE9  You cannot use a loan unit unless that
023CBAFD  but Grust would not give up the castle
023CBB10  character exists in your save data.
023CBB24  without a fight...
023CBB34  No loan units have been sent to you.
023CBB38  Having won the day and put Camus and
023CBB59  Ending communications.
023CBB5D  his Sable Order to rout,
023CBB76  Select units to send.
023CBB77  Marth and the League moved on to the
023CBB8C  Select a friend to receive units from.
023CBB9C  mountains in eastern Grust,
023CBBB3  Select units to receive.
023CBBB9  to crush the last of the opposition.
023CBBCC  Select the loan unit you want to use.
023CBBDF  The surviving Grustian soldiers, in a
023CBC05  mad attempt to hang on to their lives,
023CBC21  Please speak into the microphone.
023CBC2D  took all the residents of a nearby village
023CBC43  Adjusting the microphone. Please wait...
023CBC58  hostage to keep Marth from striking.
023CBC6C  The microphone is not picking up sound.
023CBC7E  However, they could not have picked a
023CBC94  You need to speak louder.
023CBCA4  worse village to harass...
023CBCAE  (The game may not pick up your voice.)
023CBCC0  Marth did as Gotoh instructed and chose
023CBCD5  You are speaking at a good volume.
023CBCE8  soldiers for his journey into the unseen.
023CBCF8  You are speaking at an ample volume.
023CBD13  What lay within the tower in this alternate
023CBD3F  world to test him?
023CBD53  Marth's heart wavered.
023CBD6B  But with neither the divine blade Falchion
023CBD96  nor the divine-dragon girl to aid him,
023CBDBE  the tower's master was his last hope of
023CBDE6  defeating Medeus.
023CBDF9  Gotoh had told Marth to find a coffin.
023CBE21  So, while most of his companions remained
023CBE4B  in the material world to battle Dolhr,
023CBE73  Marth and his chosen few scoured the
023CBE98  tower in search of a mysterious savior.
023CBEC1  Thus Prince Marth escaped Altea Castle
023CBEE8  with Sir Jagen and company at his side.
023CBF11  However, this success would mean little to
023CBF3C  him once he learned the cost.
023CBF5B  The boy's woes were just beginning.
023CBF80  Marth and his knights took refuge in a
023CBFA7  forest near Altea's borders,
023CBFC5  lying low while they waited for the right
023CBFEF  chance to escape the kingdom.
023CC00E  Before long, the enemy grew less watchful:
023CC039  the time to slip away had come.
023CC05A  Still, the prince could not quell the sadness
023CC088  in his heart for his sister, Elice.
023CC7F8  Movement (Buttons)
023CC80B  Movement (Stylus)
023CC81D  Commanding Units
023CC82E  Direct Combat (Buttons)
023CC846  Direct Combat (Stylus)
023CC85D  Indirect Combat
023CC86D  Magical Combat
023CC87C  Bonus Damage
023CC889  The Weapon Triangle
023CC8A2  Movement Cost
023CC8B8  The Combat Forecast
023CC8CC  Using Items
023CC8D8  Discarding Items
023CC8E9  Trading Items
023CC907  Issuing Orders
023CC91E  Specialized Units
023CC938  Long-Distance Attacks
023CC94E  Battle Preparations
023CC962  Reclassing Units
023CC973  Alternating Turns
023CC985  Losing Units
023CC992  The System Menu
023CC9A2  Item Drops
023CC9C7  The Convoy
023CC9D2  Useful Tricks
023CC9E0  Checking for Danger
023CC9F4  Highlight a unit and press 
023CCA13   to display
023CCA1F  the unit's blue movement range.
023CCA3F  Select a space within this range,
023CCA61  then press 
023CCA70   to move there.
023CCA80  You can also move with the stylus.
023CCAA3  Touch a unit, then touch a space within the
023CCACF  unit's blue movement range to move there
023CCAFA  or you can slide the stylus if you prefer to
023CCB27  chart a specific path to your destination.
023CCB52  You can also move with the buttons.
023CCB76  After you move your unit, a menu appears.
023CCBA0  Highlight a command and press 
023CCBC6  confirm your choice
023CCBDB  or you can just
023CCBEB  touch the command with the stylus.
023CCC1D   to end the unit's turn.
023CCC36  While moving, you can also select a target
023CCC61  to attack. Highlight an enemy and press 
023CCC8E  to display the combat forecast, then press
023CCCBD   again to enter combat.
023CCCD5  You can also select a target with the stylus.
023CCD2E  to attack. Touch an enemy to display the
023CCD57  combat forecast, then touch the enemy again
023CCD83  to enter combat. You can also select a
023CCDAA  target with the buttons.
023CCDC3  Units armed with bows can strike from two
023CCDED  spaces away. However, they cannot attack
023CCE16  adjacent spaces.
023CCE27  Units armed with magic tomes can attack
023CCE4F  enemies in adjacent spaces as well as
023CCE75  those two spaces away.
023CCE8C  Some weapons deal more damage than usual
023CCEB5  when wielded against certain units.
023CCED9  The bow, for example, will make short work
023CCF04  of pegasus knights and dracoknights.
023CCF29  Weapons possess a unique hierarchy:
023CCF9D  This is called the weapon triangle.
023CCFC1  Keys can open doors, lower drawbridges, or
023CCFEC  open chests
023CCFF9  depending on the type of key.
023CD017  When units move, terrain affects how far
023CD040  they can travel. Some units can pass
023CD065  through terrain others cannot; pirates can
023CD090  move through water, for example, while
023CD0B7  mountains halt cavaliers in their tracks.
023CD0E1  Units positioned in forests, mountains, or
023CD10C  the sea have a better chance of avoiding
023CD135  enemy attack. Castle gates, thrones, and
023CD15E  forts provide a defensive boost as well
023CD186  and restore HP each turn.
023CD1A0  A panel with helpful combat information
023CD1C8  appears before you attack an enemy unit.
023CD1F1  Items like vulneraries can be used by
023CD217  selecting the 
023CD22E   command, followed
023CD241  by the item's name, then 
023CD263  Items displayed in grey cannot be used.
023CD28B  Surplus weapons and items can be discarded
023CD2B6  by selecting the 
023CD306  Discarded items are gone for good.
023CD329  (Some items may not be discarded.)
023CD34C  Move next to an ally and select the 
023CD37A  command to exchange items.
023CD395  Move Marth onto a village and select the
023CD3C7   command to pay its residents a visit.
023CD3EE  You might be able to obtain valuable items
023CD419  or even meet new allies.
023CD432  Curates and clerics wield staves.
023CD454  With the right staff, you can restore HP
023CD47D  to allies, or even transport them to
023CD4A2  another location.
023CD4B4  You can issue orders to any unit but Marth,
023CD4E0  telling the unit how to behave when not
023CD508  otherwise instructed. They will take action
023CD534  after you end your turn.
023CD54D  To clear the map, move Marth onto the
023CD573  yellow space and choose 
023CD596  Some classes have special abilities unique to
023CD5C4  that class. Thieves, for example, can open
023CD5EF  doors or chests without the use of items.
023CD619  After a unit moves, select 
023CD63C   from the
023CD646  menu that appears to end the unit's turn.
023CD670  You can also press 
023CD687   or touch the B icon
023CD69C  at the top of the screen to cancel the move.
023CD6C9  Ballisticians can use siege weapons to
023CD6F0  strike enemies a great distance away.
023CD716  From chapter four onward, you can make
023CD73D  preparations before going into battle.
023CD764  During preparations, you have the option of
023CD790  changing a unit's class
023CD7A9  but there are limits.
023CD7BF  You (blue) and the enemy (red) take turns
023CD7E9  to progress the game. To end your turn,
023CD811  either move all of your units, or select
023CD841   from the System menu.
023CD858  If the enemy reduces a unit's HP to zero,
023CD882  that unit will be removed from the game.
023CD8AB  Lost units are gone for good; you won't be
023CD8D6  able to use the unit again after that point.
023CD903  If Marth's HP run out, it's game over.
023CD92A  Highlight a space not occupied by a unit and
023CD961   or touch the MENU button
023CD97B  to display the System menu.
023CD997  From here, you can suspend the game,
023CD9BC  adjust game options, or end your turn.
023CD9E3  Items shown in green text in the enemy-status
023CDA11  window are yours if you defeat that foe.
023CDA3A  Sometimes enemy reinforcements will appear
023CDA65  during battle. You can stop this from
023CDA8B  happening by placing a unit on the space
023CDAB4  from which they emerge.
023CDACC  Move to the savepoint on the map and
023CDB00   to save your progress.
023CDB18  Each savepoint can only be used once.
023CDB3E  The convoy allows you to store items for
023CDB67  later retrieval.
023CDB78  Use the buttons above to toggle the upper
023CDBA2  display or view an enemy's attack range.
023CDBD5   to show the attack range for all
023CDBF7  enemies at once.
023CE0EA  Forgive me,
023CE0F6  3 my friends...
023CE118  3 Marth!
023CE129  Don't leave me...
023CE173  4 Get up, sire!
023CE185  What of Altea's future?
023CE1CE  Marth, no...
023CE1DD  You cannot die here!
023CE1F4  There's too much to be done!
023CE24A  3 Prince Marth!
023CE25C  You are our leader!
023CE270  3 Stand up!
023CE29D  3 friends...
023CE2B8  Goodbye, Marth...
023CE2CC  Stay strong...
023CE2DB  3for me...
023CE2FD  Fight for Altea...
023CE31B  Prince Marth...
023CE32B  4 Tell them...
023CE33C  I did not run...
023CE37D  Take care,
023CE388  2 sire...
023CE394  Altea needs you...
023CE3C6  It was...
023CE3D0  3an honor...
023CE3F2  This is beyond healing...
023CE424  3 I'm sorry...
023CE446  2 Captain Ogma...
023CE463  Captain Ogma...
023CE473  3 Nngh...
023CE498  3 Rrgh...
023CE4BB  I tried...
023CE4C6  3my best...
023CE4E6  3 So this be the end...
023CE50B  Looks like...
023CE519  3the jig is up...
023CE533  2 so long...
023CE54B  Lords above...
023CE55C  Take me...
023CE567  3into your embrace...
023CE5B4  I was glad...
023CE5C2  3to know you...
023CE5E8  Forgive your...
023CE5F8  3fool of a brother...
023CE61B  Forgive me...
023CE642  3 Coyote...
023CE6B7  Why here...
023CE6C3  3when I've no love...
023CE6DB  for war...
023CE6F3  Dang it...
023CE700  What a way to
023CE738  3 Tiki...
023CE757  What was I...
023CE77C  End of...
023CE786  3the road...
023CE7B8  Princess Nyna...
023CE7CB  I fought...
023CE7F4  3 Sister...
023CE817  3 My kingdom...
023CE855  I'll be with you...
023CE87D  So long,
023CE886  2 Anna...
023CE892  I'll miss you...
023CE8A3  3the most...
023CE8DF  3Princess Nyna...
023CE949  Princess Nyna,
023CE958  2 my child...
023CE968  Be strong...
023CE980  After comin'...
023CE990  3so far...
023CE9DD  3 Forgive me...
023CEA20  At least I died...
023CEA4D  Always knew...
023CEA5C  3I'd breathe my last...
023CEA7B  1 on the battlefield...
023CEAA9  3 Princey...
023CEAB8  It's been...
023CEAE4  3 I gave it my all...
023CEB0D  I don't want to be...
023CEB48  2 must be fate...
023CEB6F  3my brother...
023CEB98  The end...
023CEBA3  3was so close...
023CEBBF  Luck be...
023CEBCA  3with you,
023CEC1B  Vat a vay...
023CEC28  3to go...
023CEC4C  I must...
023CEC56  3break my vow...
023CEC9E  You'll never...
023CECAE  3get the best of...
023CECDE  I must keep...
023CECF9  Too much...
023CED05  3at stake...
023CED12  4 Ahh...
023CED25  |With me,
023CED2F  2 Sisters!
023CED45  1 Attack!!!
023CED5B  |We have you now!
023CED8C  |It's just you and me!
023CEDA9  3And my sisters!
023CEDFE  I never got to thank you for coming
023CEE22  along with us.
023CEE31  4 There's no swordsman I
023CEE4A  trust more.
023CEE56  4 I've seen your strength.
023CEE72  You don't need to thank me,
023CEE8E  1 Princess.
023CEE9C  I'm just doing my job.
023CEEB4  Speaking of which,
023CEEC7  2 your father would flay
023CEEE0  me if you came to any harm.
023CEEFD  Do me a favor,
023CEF0C  2 and leave the dangerous
023CEF26  fighting to me and my men.
023CEF42  I don't need protecting,
023CEF6A  3I've got another job for you.
023CEF8B  Protect Marth for me.
023CEFA9  2 Princess...
023CEFB8  He's very important to me.
023CEFD5  And the world...
023CEFE6  4 But mostly to me.
023CEFFB  So do as I ask,
023CF015  Keep him safe.
023CF024  3 That's my first and last
023CF049  Very well.
023CF056  How could I say no to you?
023CF073  sThank you,
023CF089  I knew you'd understand.
023CF0A3  All right,
023CF0AE  2 I have to go.
023CF0C0  But I hope we get to talk like this more.
023CF0EC  You're a good listener.
023CF11B  You keep yourself safe,
023CF13C  Marth would grieve if anything befell
023CF168  Fair enough.
023CF177  Thank you,
023CF18C  You're very kind.
023CF1CC  Are you all right?
023CF1E6  4 Have you heard?
023CF1FA  Marth made me one of his soldiers!
023CF227  3I made him make me one.
023CF245  3What am I going to do with you?
023CF267  Listen to me,
023CF275  2 Maria...
023CF280  3 You cannot stay
023CF298  4 It's too dangerous.
023CF2AF  Real war is nothing like your stories of
023CF2D8  princes and damsels.
023CF2EF  aI'm not going anywhere!
023CF30A  I want to stay with you!
023CF32D  2 you're being selfish
023CF347  I am not!
023CF353  I'm just...
023CF35F  3sick of being helpless.
023CF379  I've burdened you long enough.
023CF39A  How can I ever help you
023CF3B2  1 if you don't give
023CF3C6  me a chance to be strong?
023CF3E1  I'm staying here and fighting!
023CF402  No protesting!
023CF422  Somehow I knew you would say that.
023CF451  2 Maria.
023CF45C  If you feel that strongly about it,
023CF480  2 who am
023CF489  I to stop you?
023CF499  All I ask is that you be careful.
023CF4BB  If you need help,
023CF4CD  2 you come find me.
023CF4F1  sOf course!
023CF50A  1 Sister!
023CF532  2 I presume?
023CF541  My name's Merric.
023CF553  3 Prince Marth asked
023CF568  me to look after you.
023CF57F  Not that we mages need any help looking
023CF5A7  after ourselves,
023CF5B8  2 mind you.
023CF5C9  2 you've studied magic?
023CF5E7  2 in Khadein.
023CF601  3 The school?
023CF611  My father was a student there a long
023CF636  time ago.
023CF641  The school is beautiful
023CF65B  4was beautiful,
023CF66D  until Gharnef took over and changed
023CF69E  I was blessed with wonderful teachers,
023CF6C7  and I found a healthy mix of friends and
023CF6F0  rivals in the other aspiring mages.
023CF715  It sounds nice,
023CF725  2 I suppose.
023CF734  But my father was the only teacher and
023CF75B  friend I ever needed.
023CF77A  I'm sorry,
023CF785  2 Linde...
023CF792  sDon't be.
023CF79F  I'm tough like my father,
023CF7C5  3Let's talk about you,
023CF7DC  2 Merric.
023CF7E8  And about Khadein.
023CF7FB  4 I've never been to a
023CF812  school before.
023CF821  3 How do they teach?
023CF84C  Bishop Boah.
023CF85E  2 Astram.
023CF868  3 Welcome back.
023CF87A  I must say I am relieved.
023CF895  Where would Archanea's army be
023CF8B4  1 without
023CF8BE  its finest knight?
023CF8E0  I am but one arrow in the quiver.
023CF904  Princess Nyna is the bow.
023CF91F  So long as we have her to lead us,
023CF944  Archanea's light shall never fade.
023CF969  aWell spoken,
023CF977  1 child.
023CF980  3 But let us be honest:
023CF99A  that light has not shone as bright
023CF9C5  our defeat at the hands of Dolhr.
023CF9E8  It will take a miracle to restore
023CFA0A  Archanea's prestige after this...
023CFA32  2 perhaps,
023CFA3D  2 some clever thinking.
023CFA56  If our next king were to be foreign...
023CFA86  A king who's not Archanean?
023CFAAB  1 of course,
023CFAB8  2 the princess would need
023CFAD2  to approve of him.
023CFAE5  4 How do you feel about
023CFB01  1 Astram?
023CFB0C  I don't.
023CFB17  I am a knight.
023CFB27  I will leave the feeling to those whose job
023CFB53  it is to feel
023CFB61  3 and content myself with
023CFB7B  serving my kingdom...
023CFB92  no matter how the kingdom might
023CFBBB  Then you are a loyal knight indeed.
023CFBE8  3the future can wait a tad longer.
023CFC0D  We have a war to fight first...
023CFC2D  3and win.
023CFC39  Archanea's tomorrow depends on it.
023CFC5D  That it does,
023CFC6B  1 Bishop.
023CFC8B  Palla, I am truly sorry.
023CFCA4  I never meant to involve you and your
023CFCCA  sisters in my personal battles.
023CFCEB  Your battles are our battles,
023CFD15  But our kingdom has fallen apart: sons
023CFD3C  slay their fathers; brothers and sisters
023CFD65  trade blows instead of kisses...
023CFD87  I have let Macedon be destroyed.
023CFDA9  I do not think so.
023CFDBC  Nor do I think you should feel troubled for
023CFDE8  our sake.
023CFDF4  sYou are our home, more than Macedon;
023CFE1A  our true house is the sky around you.
023CFE41  We will always serve you, Commander,
023CFE66  through thick and thin. I swear it.
023CFEC3  3Princess Minerva?
023CFEE1  2 sorry...
023CFEEE  Now I've taken to daydreaming on the
023CFF20  4 How Michalis would laugh.
023CFF45  3it was your brother you were
023CFF63  thinking about?
023CFF7C  He made his choice;
023CFF90  3 I, mine.
023CFF9D  I've no time to stew in my own sorrow
023CFFC3  when my path is clear before me.
023CFFEB  1 Catria.
023D0020  2 did anybody tell you?
023D003A  I flew all the way to Grust and brought
023D0062  back Mercurius.
023D0073  Pretty spiffy,
023D008F  2 Marth told me all about it.
023D00AF  Very brave of you to undertake such a
023D00D5  dangerous task alone.
023D00EB  3 Well done,
023D0100  Hee hee!
023D0109  3 You mean it?
023D0122  1 Commander!
023D0130  You should have seen the arrows
023D0152  whooshing past me left and right!
023D0175  But I'm a Whitewing,
023D018A  2 right?
023D0195  So I swooped down and let 'em have it!
023D01BD  Just watch,
023D01C9  1 though.
023D01D5  I'll find some way to top it.
023D01F4  I don't doubt it.
023D0208  I expect great things from you,
023D0261  2 Palla.
023D026A  3 I'm not slowing you and Catria
023D029A  Why would you say that?
023D02B3  I don't know...
023D02C3  3 You and she have so
023D02D9  much more experience.
023D02EF  4 Sometimes I...
023D0302  I just feel like I'm not pulling my load.
023D032D  Ha ha...
023D0336  2 Est...
023D0341  You're doing just fine.
023D035A  There are no half-Whitewings
023D0377  2 or almost-
023D0390  4 You're one of us
023D03A3  1 because
023D03AD  you're every bit as good as us.
023D03CE  Have a little confidence.
023D03F0  2 confidence...
023D0405  3Feel better?
023D041E  3 Thanks,
023D0428  1 Palla.
023D0432  It's funny...
023D0442  Whenever I talk to you,
023D045A  1 I calm right
023D0470  Promise you'll always be there for me,
023D04A1  I will...
023D04AB  3 I promise.
023D04DC  4 It's about time you made it back.
023D0502  I was so worried...
023D0522  I won't leave you like that again.
023D0546  We belong together anyway.
023D0563  When the three of us surround an enemy,
023D058D  we're just about unstoppable!
023D05B4  3but even so,
023D05C2  2 I like having you
023D05D6  somewhere I can keep an eye on you.
023D060B  What's that supposed to mean?
023D0644  2 where'd you go?
023D0694  Why are you imitating me!
023D06D6  Cut that out
023D0715  2 I HATE you,
023D0723  1 Xaney!
023D0750  2 come on.
023D075B  3 I was just jokin' around!
023D0779  Tryin' to lighten the mood!
023D07A1  It's not like I can transform into a dragon
023D07CD  like you,
023D07D7  2 so just
023D07E9  2 would you come back?
023D0811  So how are you holdin' up,
023D082C  2 kiddo?
023D0838  sI'm all right.
023D084A  sStill having those bad dreams?
023D0878  They're really scary...
023D0891  I bet they are.
023D08A8  3Ugh, what does Lord Gotoh expect
023D08CA  me to do?)
023D08D6  Did you say something?
023D08FE  2 it's nothin'.
023D0915  2 you know that Marth's countin' on
023D0939  those powers of yours.
023D096F  3you just take care of
023D0990  2 that's all.
023D099E  4 You're one special
023D09DA  Princess Elice!
023D09EA  3 You're safe!
023D0A02  3 Merric,
023D0A0C  2 is that you?
023D0A1D  I haven't seen you in ages...
023D0A40  3So you've been fighting with the
023D0A6A  4 Thank you for keeping Marth
023D0A95  2 I did learn a spell or two in
023D0AD2  2 Get behind me.
023D0AE5  I'll face the enemy for us both.
023D0B11  3face the...
023D0B31  2 Merric!
023D0B42  3what's so funny,
023D0B54  2 Princess?
023D0B62  I was quite serious,
023D0B77  2 I'll have you know!
023D0B95  2 forgive me,
023D0BAF  It's just,
023D0BBA  3 I remembered you when you were
023D0BE6  You were always a bit delicate.
023D0C08  Oftentimes I had to
023D0C24  1 you back to
023D0C3A  3 Remember?
023D0C47  But that was
023D0C56  3 I couldn't
023D0C6D  And look at you now.
023D0C84  Such a brave,
023D0C92  3 strong man!
023D0CA2  A far cry from the old Merric.
023D0CC2  But you don't have to pretend.
023D0CE3  I know you're far too sweet
023D0CFF  1 to mow
023D0D08  down hordes of enemies.
023D0D28  3I think I prefer it that way.
023D0D4F  3you do?
023D14DF  Obtained 
023D1517  Enemy swiped 
023D152A  0 broke!
023D1547  Weapon level up: 
023D155D  0 can now be used.
023D1570  Saving to the Game Card.
023D1589  Do not touch the Game Card
023D15A4  or the Power Button.
023D15B9  All data has been erased.
023D15D3  (No items)
023D15DF  All units took 
023D15EF  0 damage.
023D1607  Peg. Knight
023D16B1  Dark Mage
023D170D  M. Dragon
023D1717  E. Dragon
023D1721  F. Dragon
023D172B  D. Dragon
023D1B82  Aurelis King
023D1B8F  Talys King
023D1C93  Iron Sword
023D1C9E  Steel Sword
023D1CAA  Silv. Sword
023D1CB6  Killing Edge
023D1CC3  Levin Sword
023D1CCF  Devil Sword
023D1D0A  Brv. Sword
023D1D1E  Iron Lance
